src,dst,count
#BTSWEEK,@FallonTonight,26338
@FallonTonight,@BTS_twt,25008
@FallonTonight,@peopleschoice,3675
@FallonTonight,@charts_k,703
@FallonTonight,@jimmyfallon,520
@FallonTonight,@MrsTOH2O,51
@FallonTonight,@BTSBEINGBTSYT,32
@FallonTonight,@bts_bighit,18
@FallonTonight,@Taiiaap,18
#BTSWEEK,@BTS_twt,23590
@BTS_twt,@FallonTonight,28236
@BTS_twt,@bts_bighit,2217
@BTS_twt,@charts_k,1569
#BTSWEEK,@charts_k,701
@charts_k,@BTS_twt,1685
@charts_k,@FallonTonight,703
@charts_k,@bts_bighit,11
#BTSWEEK,@BTSBEINGBTSYT,309
@BTSBEINGBTSYT,@BTS_twt,362
@BTSBEINGBTSYT,@FallonTonight,32
@BTSBEINGBTSYT,@jimmyfallon,7
#BTSWEEK,@rmsocool,223
@rmsocool,@BTS_twt,427
#BTSWEEK,@92jinlovrs,170
@92jinlovrs,@BTS_twt,197
@92jinlovrs,@peopleschoice,1
@92jinlovrs,@FallonTonight,1
#BTSWEEK,@BTSGlobalCharts,156
@BTSGlobalCharts,@BTS_twt,177
#BTSWEEK,@jimmyfallon,109
@jimmyfallon,@FallonTonight,520
@jimmyfallon,@BTS_twt,517
@jimmyfallon,@peopleschoice,18
@jimmyfallon,@BTSBEINGBTSYT,7
@jimmyfallon,@bts_bighit,4
@jimmyfallon,@charts_k,2
#BTSWEEK,@del_bangtan,90
@del_bangtan,@BTS_twt,190
@del_bangtan,@peopleschoice,4
@del_bangtan,@FallonTonight,4
@del_bangtan,@bts_bighit,1
#BTSWEEK,@peopleschoice,86
@peopleschoice,@FallonTonight,3723
@peopleschoice,@BTS_twt,716
@peopleschoice,@bts_bighit,417
#BTSWEEK,@ARMYForce_Peru,68
@ARMYForce_Peru,@BTS_twt,89
@ARMYForce_Peru,@bts_bighit,1
#BTSWEEK,@MrsTOH2O,50
@MrsTOH2O,@peopleschoice,52
@MrsTOH2O,@FallonTonight,51
@MrsTOH2O,@Taiiaap,18
@MrsTOH2O,@BTS_twt,6
#BTSWEEK,@BTS_VOTE_ALL3,38
@BTS_VOTE_ALL3,@BTS_twt,123
#BTSWEEK,@armymomsf,32
@armymomsf,@BTS_twt,36
#BTSWEEK,@fiItermyg,29
#BTSWEEK,@ArmyPowerMex,26
@ArmyPowerMex,@BTS_twt,30
#BTSWEEK,@btsbrasil_offc,24
@btsbrasil_offc,@BTS_twt,24
#BTSWEEK,@BangtanINDIA,23
@BangtanINDIA,@BTS_twt,27
#BTSWEEK,@index_bts,22
@index_bts,@BTS_twt,22
#BTSWEEK,@wabthebtswings,22
@wabthebtswings,@BTS_twt,2
#BTSWEEK,@bts_bighit,18
@bts_bighit,@BTS_twt,2219
@bts_bighit,@peopleschoice,417
@bts_bighit,@FallonTonight,18
#BTSWEEK,@Taiiaap,17
@Taiiaap,@peopleschoice,18
@Taiiaap,@MrsTOH2O,18
@Taiiaap,@FallonTonight,18
#BTSWEEK,@whalien22764339,14
@whalien22764339,@BTS_twt,16
@whalien22764339,@jimmyfallon,1
@whalien22764339,@FallonTonight,1
#BTSWEEK,@KTH_SUPREMACY,12
@KTH_SUPREMACY,@bts_bighit,2
#BTSWEEK,@phiyen2288,12
@phiyen2288,@BTS_twt,75
